minute,win_rate,num_samples
15,0.5169358686021945,44019
20,0.5102265406914323,37256
25,0.5031554212823095,29790
30,0.4982625482625483,15540
35,0.49608043626448534,5868
40,0.4875896304467733,1813
45,0.510548523206751,474
50,0.5865384615384616,104
55,0.48,25
60,0.2,5
65,0.3333333333333333,3
