outerTowerDiff,win_rate,num_samples,std_win
-3.0,0.07783695206882425,4882,0.26794228227088107
-2.0,0.14675105485232068,11850,0.3538725057501901
-1.0,0.2772852722254746,23914,0.447667879497545
-0.0,0.4986444966564251,49797,0.5000031830472278
1.0,0.7213114754098361,25437,0.4483627257840213
2.0,0.8552178469830813,13358,0.3518942330465569
3.0,0.9286092949284326,5659,0.25749910519225505
