grubDiff,win_rate,num_samples,std_win
-3.0,0.41958214859685994,40445,0.4934966977209079
-2.0,0.467906976744186,1075,0.49920121547929935
-1.0,0.44913313706247954,15285,0.4974221043931366
0.0,0.49546142208774585,2644,0.5000739775258329
1.0,0.5340699815837937,16290,0.4988531977195365
2.0,0.5521774856203779,1217,0.4974744849836932
3.0,0.5868996141242171,51571,0.4923953273660408
