totalKillDiff,win_rate,num_samples,std_win
-20.0,0.04411764705882353,476,0.20557252228715947
-19.0,0.05583756345177665,591,0.22980227464943231
-18.0,0.05377720870678617,781,0.2257220813139724
-17.0,0.06746463547334058,919,0.2509615334789663
-16.0,0.06329113924050633,1106,0.24359602388697268
-15.0,0.06850335070737155,1343,0.25270178187447534
-14.0,0.07958921694480103,1558,0.27074309253839524
-13.0,0.0859658208182289,1931,0.28038618237425916
-12.0,0.09479717813051146,2268,0.29299918981532896
-11.0,0.10844306738962045,2582,0.31099940209245086
-10.0,0.1497326203208556,2992,0.356868782630442
-9.0,0.17008196721311475,3416,0.37575979720749486
-8.0,0.18055555555555555,3888,0.38469898756922816
-7.0,0.2121071012805588,4295,0.4088478907232054
-6.0,0.2359192348565356,4705,0.4246170867338642
-5.0,0.2775793650793651,5040,0.4478491448797809
-4.0,0.321003717472119,5380,0.46690561299427147
-3.0,0.3708185053380783,5620,0.4830669347420531
-2.0,0.4025146689019279,5965,0.49044564932046253
-1.0,0.4577733532437365,6027,0.49825505646654394
0.0,0.5052100293064149,6142,0.5000135609726213
1.0,0.5367370315823924,6111,0.4986893684002521
2.0,0.5872121914858374,6037,0.4923760673646746
3.0,0.6532009585758302,5842,0.4759918580635133
4.0,0.6683974932855864,5585,0.47083115513024343
5.0,0.720166163141994,5296,0.4489598205283044
6.0,0.7514216084484159,4924,0.43223271109777545
7.0,0.7918036379574841,4563,0.4060625228721335
8.0,0.7989750757046354,4293,0.40081333036699746
9.0,0.838024429102496,3766,0.3684773240161231
10.0,0.855081001472754,3395,0.3520710058243799
11.0,0.8754809373906961,2859,0.33023053937535835
12.0,0.8864013266998342,2412,0.31738900287158944
13.0,0.9080831408775981,2165,0.28897529542395384
14.0,0.9250535331905781,1868,0.2633754508138902
15.0,0.9375812743823146,1538,0.24199319038030265
16.0,0.9295223179326546,1277,0.2560506179966007
17.0,0.9400785854616895,1018,0.23745784434270628
18.0,0.9365671641791045,804,0.24389156424476083
19.0,0.9516129032258065,620,0.2147560779484256
20.0,0.9660678642714571,501,0.18123550255187176
