innerTowerDiff,win_rate,num_samples,std_win
-3.0,0.09320046893317702,5118,0.2907415654316138
-2.0,0.1696494758021815,9443,0.37534444249947474
-1.0,0.276346037507562,16530,0.4472035372520477
-0.0,0.5081013530983366,69618,0.4999379543624505
1.0,0.7155958172566125,17883,0.45114279864769746
2.0,0.812719506407214,10535,0.39015504531286826
3.0,0.9062391681109185,5770,0.29152095459789223
