tier,-3.0,-2.0,-1.0,-0.0,1.0,2.0,3.0
IRON,0.1317365269461078,0.1673076923076923,0.2384243261921216,0.5113596766325179,0.7782101167315175,0.8833034111310593,0.9458128078817734
BRONZE,0.1104294478527607,0.1438848920863309,0.2441690962099125,0.5198331630915901,0.7724094087730451,0.8417132216014898,0.9035532994923858
SILVER,0.1894736842105263,0.126,0.2192916352675207,0.5105523495465787,0.7487989018531228,0.8300536672629696,0.8235294117647058
GOLD,0.1338028169014084,0.1685144124168514,0.2192691029900332,0.5115913230667329,0.7613469985358712,0.8703703703703703,0.9014084507042254
PLATINUM,0.0866141732283464,0.1409691629955947,0.223728813559322,0.4997039668442866,0.7890196078431373,0.8725701943844493,0.9214285714285714
EMERALD,0.081967213114754,0.1195928753180661,0.1826831588962892,0.486702589953068,0.7504078303425775,0.8303964757709251,0.9230769230769232
DIAMOND,0.1363636363636363,0.106060606060606,0.2190775681341719,0.4973478378135395,0.7780797101449275,0.8148148148148148,0.9444444444444444
MASTER,0.15625,0.1235521235521235,0.2069857697283312,0.5102897512030307,0.7918170878459687,0.8506944444444444,0.9
GRANDMASTER,0.2608695652173913,0.0859375,0.2068965517241379,0.5159802830338687,0.8083140877598153,0.8496732026143791,0.7941176470588235
CHALLENGER,0.0833333333333333,0.1341463414634146,0.190625,0.5223957439505749,0.7974025974025974,0.7850467289719626,0.8695652173913043
