tier,-1.0,0.0,1.0
IRON,0.2804794520547945,0.5164916231484538,0.7679168213887857
BRONZE,0.2956033676333021,0.5212453098063077,0.7462638076673165
SILVER,0.2905504857226965,0.5147389969293756,0.715625
GOLD,0.2991556091676719,0.5148109243697478,0.737223870755028
PLATINUM,0.2891263356379635,0.5049695415197178,0.7324666438590489
EMERALD,0.2443324937027707,0.4961584244129423,0.6984906984906984
DIAMOND,0.2816517335410985,0.5021683531635717,0.7173387096774193
MASTER,0.2752893809763462,0.5160093954753369,0.7241902834008097
GRANDMASTER,0.3102493074792243,0.5268650947042907,0.6768027801911382
CHALLENGER,0.3099173553719008,0.5285954583683767,0.6848659003831418
