tier,-1.0,0.0,1.0
IRON,0.3854682241140368,0.5220759383183008,0.6318732525629077
BRONZE,0.3839875631558492,0.5228076708247998,0.6397228637413395
SILVER,0.3761398176291793,0.5161229846269216,0.6193447737909517
GOLD,0.371063829787234,0.5196940726577438,0.6174440141437952
PLATINUM,0.3650140723100238,0.5056158017041054,0.6143687268885367
EMERALD,0.3205591708845505,0.4979351032448377,0.6019520851818988
DIAMOND,0.3517640863612427,0.5061085519727618,0.6010668698799772
MASTER,0.3445570447858777,0.5203430833516605,0.614484930274404
GRANDMASTER,0.376131221719457,0.5292338709677419,0.600975975975976
CHALLENGER,0.3751686909581646,0.5312041116005873,0.5956284153005464
